i want to create an incident regarding my workday|de,es,ja
I need to increase my credit card|de,es,ja
I'm hungry|de,es,ja
report an issue|de,es,ja
How is the weather?|de,es,ja
hr phone number|de,es,ja
third party software policy|de,es,ja
knowledge 17|de,es,ja
What's your name?|de,es,ja
What is the IT support phone number in EMEA|de,es,ja
give me a fact|de,es,ja
I have a payroll issue|de,es,ja
i don't have a receipt for an expense|de,es,ja
Travel Card|de,es,ja
New Card|de,es,ja
credit card|de,es,ja
change password|de,es,ja
email phone|de,es,ja
Reimbursement|de,es,ja
Company expense|de,es,ja
My colleague needs help with expense report policy|de,es,ja
How can I change my address|de,es,ja
I need The Insider|de,es,ja
Invention disclosure|de,es,ja
Travel policy|de,es,ja
servicenow's email signature template|de,es,ja
What is the number to IT support|de,es,ja
open an incident|de,es,ja
keychain issue|de,es,ja
nda|de,es,ja
espp|de,es,ja
webex is broken|de,es,ja
report it issue|de,es,ja
human resources phone number|de,es,ja
cafe menu santa clara|de,es,ja
I need to submit  a request for tuition reimbursment|de,es,ja
tell me a joke|de,es,ja
2018 powerpoint template|de,es,ja
Travel Card|de,es,ja
temporary admin access to install software|de,es,ja
password reset enrollment|de,es,ja
knowledge 17|de,es,ja
configure outlook on android|de,es,ja
I have a problem|de,es,ja
What's the lunch menu next Tuesday|de,es,ja
expense report issue|de,es,ja
Purchase Card|de,es,ja
OMG LOL|de,es,ja
Limit Raise|de,es,ja
I need a corporate card|de,es,ja
What is our tuition reimbursement policy|de,es,ja
webex connectivty issue|de,es,ja
credit card not received|de,es,ja
citi card not received|de,es,ja
Can you tell me what's the weather in Hyderabad right now|de,es,ja
What is weather in Santa Clara|de,es,ja
I need admin permissions to install an application for a training class tomororw|de,es,ja
I need to setup printer on my machine|de,es,ja
I'D LIKE A LAPTOP|de,es,ja
how is the weather in Delhi|de,es,ja
Visa card|de,es,ja
Stock price of now|de,es,ja
can i get my cell phone bill reimbursed|de,es,ja
Complete discount|de,es,ja
What is the IT support phone number in EMEA|de,es,ja
password reset|de,es,ja
Company shuttle|de,es,ja
ms word|de,es,ja
What's for lunch?|de,es,ja
Windows|de,es,ja
I need Admin to log in so I can install software|de,es,ja
Sales Enablement|de,es,ja
Where do I enter a new purchase request|de,es,ja
servicenow overview|de,es,ja
How do I access an incident ticket|de,es,ja
computer issue|de,es,ja
Mobile wifi setup|de,es,ja
apac it helpdesk phone number|de,es,ja
how do I buy employee stock|de,es,ja
order new laptop|de,es,ja
create incident|de,es,ja
Get me a monitor|de,es,ja
when can i sell my RSUs|de,es,ja
submit incident|de,es,ja
powerpoint issue|de,es,ja
Concur|de,es,ja
I want to see  emails lost due to retention policy|de,es,ja
Governance Risk and compliance presentation|de,es,ja
I want to recover my deleted emails|de,es,ja
Does Servicenow work with MongoDB|de,es,ja
nda template|de,es,ja
What are company discounts?|de,es,ja
reset my ADM password|de,es,ja
tell me a joke|de,es,ja
paternity leave policy India|de,es,ja
Org chart|de,es,ja
termination request|de,es,ja
how old are you?|de,es,ja
where can I get the new logo|de,es,ja
jabber|de,es,ja
what time is it|de,es,ja
stock price NOW|de,es,ja
can you get me some coffee|de,es,ja
how to install jabber|de,es,ja
customer support number|de,es,ja
Where can I get MOA?|de,es,ja
when is knowledge 19|de,es,ja
I'd like to request a matching gift|de,es,ja
I need to order business cards|de,es,ja
I want to train|de,es,ja
matching donation|de,es,ja
I would like to request an ergonomic desk.|de,es,ja
Open my incidents|de,es,ja
When can I sell my shares?|de,es,ja
What is CSM?|de,es,ja
Compliance report required for a customer|de,es,ja
K18|de,es,ja
how old are you|de,es,ja
Just testing this out|de,es,ja